Order,Family,Species,ZooMS_taxon,COL1a1_508_519,COL1a3_568_579,COL1a3_839_847,COL1a2_978_990,COL1a2_244_258,COL1a3_746_762,COL1a1_688_704,COL1a1_688_704.1,COL1a2_889_906,COL1a1_889_906,COL1a2_502_519,COL1a2_502_519.1,COL1a2_688_704,COL1a2_688_704.1,COL1a3_889-907,COL1a2_907_924,COL1a2_907_924.1,COL1a2_793_806,COL1a2_793_806.1,COL1a1_817_837,COL1a1_817_837.1,COL1a1_817_837.2,COL1a1_817_837.3,COL1a1_881_900,COL1a1_881_900.1,COL1a2_817-836,COL1a2_817-836.1,COL1a2_658_687,COL1a2_658_687.1,COL1a2_625_648,COL1a2_625_648.1,COL1a2_625_648.2,COL1a2_625_648.3,COL1a3_532_555,COL1a2_733_756,COL1a2_733_756.1,COL1a1_934-963,COL1a1_934-963.1,COL1a1_934-963.2,COL1a2_454_483,COL1a2_586_618,COL1a1_586_618,COL1a1_586_618.1,COL1a2_658_687.2,COL1a2_658_687.3,COL1a2_757_789,COL1a2_757_789.1,COL1a2_757_789.2,COL1a2_757_789.3,COL1a2_10_42,COL1a2_10_42.1,COL1a2_991_1028,COL1a2_991_1028.1
Perciformes,Scaridae,Sparisoma viride,Sparisoma,,,,1133,1350,1445,1469,1485,,1532,1563,1578,1517,,,1554,,1158,,,,,,1816,1832,,,,2455,,,,,,2153,,2623,2639,,,,,,2940,,,,,,3058,,,
Perciformes,Serranidae,Epinephelus adscensionis,Epinephelus,1012,,,1137,1350,1471,1469,1485,,1506,1560,1576,1539,,,1584,,1158,,,,,,1816,1832,,,,2486,2125,,,,,2195,,2653,2669,,2698,,2851,2867,2927,,,,,,3086,,,
Perciformes,Serranidae,Epinephelus guttatus,Epinephelus,1012,,,1127,1350,1471,1469,1485,,1506,1560,1576,1572,,,1584,,1158,,,,,,1816,1832,,,,2488,2125,,,,,2195,,2653,2669,,2682,,2851,2867,2935,2951,,,,,3086,,,
Perciformes,Serranidae,Epinephelus itajara,Epinephelus,1010,,,1137,1380,,1455,,,1506,1560,1576,2486,,,1584,,1158,,,,,,1816,1832,,,,2486,2125,,,,,2188,2204,2653,2669,,2682,,2838,,,,,,,,,,,
Perciformes,Serranidae,Epinephelus morio,Epinephelus,1010,,,,1350,1471,1469,1485,,1506,1560,1576,1572,,,1584,,1158,,,,,,1816,1832,,,,2444,2125,,,,,2195,,2653,2669,,2682,,2851,2867,2927,,,,,,3086,,,
Perciformes,Serranidae,Mycteroperca phenax,Mycteroperca,1010,,,1137,1350,1471,1469,1485,,1506,1560,1576,1572,,,1584,,1183,,,,,,1816,1832,,,,2502,2125,,,,,2195,,2653,2669,,2682,,2851,2867,2935,2951,,,,,,,,
Perciformes,Serranidae,Serranus tigrinus,Serranus,1144,,,1137,1319,1455,1443,,,1506,1518,1534,1572,,,1584,,,,,,,,1816,1832,,,,2438,2099,,,,,2195,,2694,,,2766,,2856,,2921,,,,,,3084,3100,,
Perciformes,Sparidae,Boops boops,Boops,,,908,,,1445,1469,,1558,,1537,,1533,,,,,,,,,,,,,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,
Perciformes,Sparidae,Dentex dentex,Dentex,,,908,,,1445,1469,,1558,,1554,,1533,,,,,,,,,,,,,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,
Perciformes,Sparidae,Lithognathus mormyrus,Lithognathus,,,938,,,1445,1469,,1558,,1537,,1533,,,,,,,,,,,,,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,
Perciformes,Sparidae,Oblada melanura,Oblada,,,908,,,1445,1469,,1558,,1563,,1533,,,,,,,,,,,,,,,2456,,,,,,,,,,,,,,,,,,,,,,,,,
Perciformes,Sparidae,Pagellus erythrinus,Pagellus,,,956,,,1445,1469,,1558,,1521,,1533,,,,,,,,,,,,,,,2498,,,,,,,,,,,,,,,,,,,,,,,,,
Perciformes,Sparidae,Sarpa salpa,Sarpa,,,924,,,1445,1469,,1558,,1537,,1533,,,,,,,,,,,,,,,2514,,,,,,,,,,,,,,,,,,,,,,,,,
