Sample,contaminant,mass
CP983,Keratin (Human),1121.5837
CP977,4HCCA Cluster,855.0714
CP977,Porcine Trypsin,842.5094
CP977,Porcine Trypsin - Methylated,870.5407
CP971,4HCCA Cluster,855.0714
CP971,4HCCA Cluster,1060.0879
CP971,Porcine Trypsin - Methylated,870.5407
CP928,4HCCA Cluster,871.0453
CP902,Keratin (Human),1121.5837
CP885,Bovine Casein a-S1,1251.7096
CP885,Keratin (Human),1121.5837
CP947,Bovine Casein a-S1,1251.7096
CP947,Keratin (Human),1121.5837
CP907,4HCCA Cluster,855.0714
CP907,Porcine Trypsin - Methylated,870.5407
CP873,Porcine Trypsin,842.5094
CP873,Porcine Trypsin,1045.5637
CP873,Porcine Trypsin - Methylated,870.5407
CP989,4HCCA Cluster,855.0714
CP989,4HCCA Cluster,1060.0879
CP989,Porcine Trypsin,842.5094
CP989,Porcine Trypsin,2211.104
CP989,Porcine Trypsin - Methylated,870.5407
CP878,Bovine Casein a-S1,1251.7096
CP878,Keratin (Human),1121.5837
CP878,Porcine Trypsin - Methylated,870.5407
CP991,4HCCA Cluster,855.0714
CP991,4HCCA Cluster,1060.0879
CP991,Porcine Trypsin,842.5094
CP991,Porcine Trypsin,2211.104
CP991,Porcine Trypsin - Methylated,870.5407
CP890,4HCCA Cluster,855.0714
CP890,Porcine Trypsin,842.5094
CP890,Porcine Trypsin,1045.5637
CP890,Porcine Trypsin - Methylated,870.5407
CP929,Keratin (Human),1121.5837
CP929,Keratin (Human),2150.0778
CP869,Porcine Trypsin,842.5094
CP869,Porcine Trypsin,1045.5637
CP869,Porcine Trypsin - Methylated,870.5407
CP973,4HCCA Cluster,855.0714
CP973,4HCCA Cluster,1060.0879
CP973,Porcine Trypsin - Methylated,870.5407
CP934,Porcine Trypsin - Methylated,870.5407
CP996,Keratin (Human),1121.5837
CP984,Porcine Trypsin,842.5094
CP984,Porcine Trypsin - Methylated,870.5407
CP944,4HCCA Cluster,855.0714
CP944,Porcine Trypsin - Methylated,870.5407
CP967,4HCCA Cluster,855.0714
CP967,4HCCA Cluster,1060.0879
CP967,Porcine Trypsin - Methylated,870.5407
CP918,4HCCA Cluster,871.0453
CP918,Porcine Trypsin,842.5094
CP918,Porcine Trypsin - Methylated,870.5407
CP895,4HCCA Cluster,855.0714
CP895,Porcine Trypsin,842.5094
CP895,Porcine Trypsin - Methylated,870.5407
