Sample,COL1_1_508_519,COL1_2_978_990,COL1_2_978_990_16,COL1a2_484___499,COL1a2_502___519,COL1a2_292___309,COL1a2_793___816,COL1a2_454___483,COL1a1_586___618,COL1a1_586___618_16,COL1a2_757___789,COL1a2_757___789_16,ZooMS_taxon,Family,Order,Correlation
KAV448,1105.6,1192.6,1208.6,1427.7,1580.8,,2131.1,,2853.4,2869.4,3017.4,,Bos/Bison,Bovidae,Artiodactyla,0.39386456
KAV199,1105.6,,,1427.7,,2131.1,,,,,,,Pudu/Oretragus/Tragelaphus/Sylvicapra,Cervidae/Bovidae,Artiodactyla,0.227563471
KAV511,,1427.7,,,2883.4,3033.4,,,,,,,Bos/Ammotragus,Bovidae,Artiodactyla,0.325566867
KAV385,1105.6,,1208.6,1427.7,1580.8,2131.1,1648.8,,,2869.4,,,Sylvicapra/Bos/Bison/Cephalophus,Bovidae,Artiodactyla,0.329035179
KAV414,1105.6,,1208.6,1427.7,,1648.8,2131.1,,2853.4,2869.4,,,Bos/Bison,Bovidae,Artiodactyla,0.253454644
KAV486,1105.6,,1208.6,1427.7,1580.8,2131.1,1648.8,,2853.4,2869.4,,,Sylvicapra/Bos/Bison/Cephalophus,Bovidae,Artiodactyla,0.260182363
KAV394,1105.6,,,1453.7,,,,,2853.4,,,,Mammoth/Elephas/Loxodonta,Elephantidae,Proboscidea,0.28354
KAV163,1105.6,,,1427.7,,,,,2853.4,,,,Sylvicapra/Bos/Bison/Cephalophus,Bovidae,Artiodactyla,0.230060641
KMP055,1105.6,,1221.6,1453.7,,2129.1,,2883.4,,,,,Lepus/Oryctolagus,Leporidae,Lagomorpha,0.224659463
KMP080,,1427.7,,2131.1,,,,,,,,,Bos/Ammotragus,Bovidae,Artiodactyla,0.153377861
KAV291,1105.6,,1208.6,1427.7,1580.8,1648.8,2131.1,,2853.4,2869.4,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.284501098
SAL005,1105.6,1192.6,1208.6,1427.7,,,2131.1,,2853.4,,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.303972873
SAL002,1105.6,1192.6,1208.6,1427.7,,1648.8,2131.1,,2853.4,,3017.4,,Bos/Bison,Bovidae,Artiodactyla,0.28929013
KAV033,1105.6,,1208.6,1427.7,1580.8,,2131.1,,2853.4,2869.4,,,Sylvicapra/Bos/Bison/Cephalophus,Bovidae,Artiodactyla,0.276265477
KMP008,1105.6,1192.6,1208.6,1427.7,1580.8,1648.8,2131.1,,2853.4,,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.341201984
KMP023,1105.6,,1182.6,1427.7,1550.8,2131.1,,,2883.4,,,3033.4,Madoqua,Bovidae,Artiodactyla,0.373631352
KMP041,1105.6,,1182.6,1427.7,1550.8,2131.1,1648.8,,2883.4,,,3033.4,Madoqua/Bos/Aepyceros/Ourebia/Alcelaphus/Kobus,Bovidae,Artiodactyla,0.351995421
KAV445,1105.6,,,1427.7,,,2131.1,,2853.4,,3017.4,,Bos/Bison,Bovidae,Artiodactyla,0.366032498
KMP012,1105.6,1427.7,,,,,,,,,,,Giraffa,Giraffidae,Artiodactyla,0.26432746
KAV301,1105.6,1192.6,1208.6,1427.7,,1648.8,2131.1,,2853.4,2869.4,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.405753251
KAV405,1105.6,,,1427.7,,2131.1,,,2853.4,,,3059.4,Sylvicapra/Bos/Bison/Cephalophus,Bovidae,Artiodactyla,0.225130866
SAL007,1105.6,1192.6,1208.6,1427.7,,2131.1,,,2883.4,,3043.4,3059.4,Tragelaphus/Taurotragus/Philatomba,Bovidae,Artiodactyla,0.451473662
KMP043,,1427.7,1580.8,2131.1,,,,,,,,,Bos/Ammotragus,Bovidae,Artiodactyla,0.203564211
SAL003,1105.6,,1196.6,1427.7,1550.8,2131.1,1648.8,,,2899.4,,,Bos/Aepyceros/Ourebia/Antidorcas/Connochaetes/Damaliscus,Bovidae,Artiodactyla,0.25627714
KAV144,1105.6,,1208.6,1427.7,1580.8,1648.8,2131.1,,2853.4,2869.4,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.313392185
KAV002,1105.6,,1208.6,1427.7,1580.8,1648.8,2131.1,2792.4,2853.4,2869.4,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.305225827
KAV453,1105.6,,1208.6,1427.7,,,2131.1,,2853.4,2869.4,,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.258941315
KAV503,1105.6,1427.7,,,,,2883.4,,,,,,Giraffa,Giraffidae,Artiodactyla,0.211327921
KAV455,1105.6,,1208.6,1427.7,,,,,,,,,Tragelaphus/Sylvicapra,Bovidae,Artiodactyla,0.149079215
KMP057,1105.6,1453.7,1566.8,,,,,,,,,,Oryctolagus/Lepus,Leporidae,Lagomorpha,0.155767
KAV481,1105.6,,1208.6,1427.7,,,1648.8,,,,,,Oreotragus/Bos/Bison/Cephalophus/Tragelaphus,Bovidae,Artiodactyla,0.241482507
KAV129,1105.6,,1208.6,1427.7,1580.8,1648.8,2131.1,,2853.4,2869.4,,,Bos/Bison,Bovidae,Artiodactyla,0.27615731
KMP046,1105.6,,1221.6,1453.7,1566.8,2129.1,,,,,,,Lepus/Oryctolagus,Leporidae,Lagomorpha,0.197667
