Sample,contaminant,mass
DC15048,4HCCA Cluster,855.0714
DC15048,4HCCA Cluster,861.0794
DC15048,4HCCA Cluster,871.0453
DC15048,4HCCA Cluster,1066.0959
DC15048,Bovine Casein a-S1,1267.7045
DC15048,Keratin,1549.6772
DC15048,Keratin,2705.1611
DC15048,Keratin (Human),1201.6171
DC15048,Keratin (Human),1638.7657
DC15048,Keratin (Human),1638.8598
DC15001,4HCCA Cluster,839.0974
DC15001,4HCCA Cluster,855.0714
DC15001,4HCCA Cluster,861.0794
DC15001,4HCCA Cluster,871.0453
DC15001,4HCCA Cluster,1066.0959
DC15001,4HCCA Cluster,606.0915
DC15001,Bovine Casein a-S1,1267.7045
DC15001,Keratin,2705.1611
DC15052,Bovine Casein a-S1,1267.7045
DC15052,Keratin,2705.1611
DC15052,Keratin (Human),2286.1248
DC15012,4HCCA Cluster,839.0974
DC15012,4HCCA Cluster,855.0714
DC15012,4HCCA Cluster,861.0794
DC15012,4HCCA Cluster,871.0453
DC15012,4HCCA Cluster,1066.0959
DC15012,4HCCA Cluster,606.0915
DC15012,Bovine Casein a-S1,1267.7045
DC15012,Keratin,1549.6772
DC15012,Keratin,2705.1611
DC15012,Keratin (Human),1475.7489
DC15012,Keratin (Human),1475.7853
DC15012,"Porcine Trypsin, Methylated",2720.3634
DC15014,Bovine Casein a-S1,1267.7045
DC15014,Keratin,1549.6772
DC15014,Keratin,2581.1947
DC15014,Keratin,2705.1611
DC15014,"Porcine Trypsin, Methylated",2720.3634
DC15090,4HCCA Cluster,855.0714
DC15090,4HCCA Cluster,861.0794
DC15090,4HCCA Cluster,871.0453
DC15090,4HCCA Cluster,1066.0959
DC15090,4HCCA Cluster,606.0915
DC15090,Bovine Casein a-S1,1267.7045
DC15090,Keratin,1549.6772
DC15090,Keratin,2705.1611
DC15090,Keratin (Human),1201.6171
DC15090,Keratin (Human),2286.1248
DC15058,4HCCA Cluster,839.0974
DC15058,4HCCA Cluster,845.1054
DC15058,4HCCA Cluster,855.0714
DC15058,4HCCA Cluster,861.0794
DC15058,4HCCA Cluster,871.0453
DC15058,4HCCA Cluster,1066.0959
DC15058,Bovine Casein a-S1,1267.7045
DC15058,Keratin,2705.1611
DC15058,Keratin (Human),2286.1248
DC15236,4HCCA Cluster,871.0453
DC15063,4HCCA Cluster,839.0974
DC15063,4HCCA Cluster,855.0714
DC15063,4HCCA Cluster,861.0794
DC15063,4HCCA Cluster,871.0453
DC15063,4HCCA Cluster,1066.0959
DC15063,4HCCA Cluster,1060.0879
DC15063,4HCCA Cluster,606.0915
DC15063,Keratin,1549.6772
DC15063,Keratin,2705.1611
DC15063,Keratin (Human),1193.6161
DC15063,Keratin (Human),1201.6171
DC15077,4HCCA Cluster,839.0974
DC15077,4HCCA Cluster,855.0714
DC15077,4HCCA Cluster,861.0794
DC15077,4HCCA Cluster,871.0453
DC15077,4HCCA Cluster,1066.0959
DC15077,Keratin,1549.6772
DC15077,Keratin,2705.1611
DC15065,4HCCA Cluster,855.0714
DC15065,4HCCA Cluster,871.0453
DC15065,4HCCA Cluster,606.0915
DC15065,Keratin,2705.1611
DC15065,Keratin (Human),973.5313
DC15065,Keratin (Human),1201.6171
DC15277,4HCCA Cluster,855.0714
DC15277,4HCCA Cluster,871.0453
DC15277,Bovine Casein a-S1,1267.7045
DC15108,4HCCA Cluster,855.0714
DC15108,4HCCA Cluster,871.0453
DC15108,4HCCA Cluster,606.0915
DC15108,Bovine Casein a-S1,1251.7096
DC15108,Bovine Casein a-S1,1267.7045
DC15108,Bovine Serum Albumin (BSA),1491.7518
DC15108,Keratin,1549.6772
DC15108,Keratin,2705.1611
DC15108,Keratin (Human),1475.7489
DC15108,Keratin (Human),1475.7853
DC15108,Keratin (Human),1491.7438
DC15108,Keratin (Human),2566.2784
DC15284,4HCCA Cluster,871.0453
DC15284,Bovine Casein a-S1,1267.7045
DC15053,4HCCA Cluster,839.0974
DC15053,4HCCA Cluster,855.0714
DC15053,4HCCA Cluster,861.0794
DC15053,4HCCA Cluster,1066.0959
DC15053,Bovine Casein a-S1,1267.7045
DC15053,Keratin,1549.6772
DC15053,Keratin,2705.1611
DC15053,Keratin (Human),1201.6171
DC15119,4HCCA Cluster,855.0714
DC15119,4HCCA Cluster,871.0453
DC15119,4HCCA Cluster,606.0915
DC15119,Bovine Serum Albumin (BSA),1491.7518
