,Order,Family,Species,ZooMS_taxon,COL1a1_508_-_519,COL1a3_568_-_579,COL1a3_839_-_847,COL1a2_978_-_990,COL1a2_244_-_258,COL1a3_746_-_762,COL1a1_688_-_704,COL1a1_688_-_704.1,COL1a2_889_-_906,COL1a1_889_-_906,COL1a2_502_-_519,COL1a2_502_-_519.1,COL1a2_688_-_704,COL1a2_688_-_704.1,COL1a3_889-907,COL1a2_907_-_924,COL1a2_907_-_924.1,COL1a2_793_-_806,COL1a2_793_-_806.1,COL1a1_817_-_837,COL1a1_817_-_837.1,COL1a1_817_-_837.2,COL1a1_817_-_837.3,COL1a1_881_-_900,COL1a1_881_-_900.1,COL1a2_817-836,COL1a2_817-836.1,COL1a2_658_-_687,COL1a2_658_-_687.1,COL1a2_625_-_648,COL1a2_625_-_648.1,COL1a2_625_-_648.2,COL1a2_625_-_648.3,COL1a3_532_-_555,COL1a2_733_-_756,COL1a2_733_-_756.1,COL1a1_934-963,COL1a1_934-963.1,COL1a1_934-963.2,COL1a2_454_-_483,COL1a2_586_-_618,COL1a1_586_-_618,COL1a1_586_-_618.1,COL1a2_658_-_687.2,COL1a2_658_-_687.3,COL1a2_757_-_789,COL1a2_757_-_789.1,COL1a2_757_-_789.2,COL1a2_757_-_789.3,COL1a2_10_-_42,COL1a2_10_-_42.1,COL1a2_991_-_1028,COL1a2_991_-_1028.1
117,Salmoniformes,Salmonidae,Oncorhynchus tshawytscha,Oncorhynchus,,996.0,,,,,,,,,,,,,,,,,,,,,,,,1874.0,1890.0,2456,,,,,,2202.0,,,2669.0,,,,2881.0,,,,,2933.0,2949.0,,,,,,
118,Salmoniformes,Salmonidae,Salmo salar,Salmo,1010.0,1026.0,910.0,,1339.0,1397.0,1443,,1518.0,,1584.0,,1536,,,,,1220.0,,,,,,1774.0,1790.0,,,2456,,2137/2148,,,,2174.0,,,2612.0,2628.0,,,2922.0,,,,,2967.0,2983.0,,,3084.0,3100.0,,
119,Salmoniformes,Salmonidae,Salmo trutta fario,Salmo,1010.0,996.0,910.0,,1339.0,1422.0,1443,,1518.0,,1584.0,,1536,,,,,1220.0,,,,,,1774.0,1790.0,,,2456,,2137,,,,,,,2612.0,2628.0,,,,,,,,,,,,3074.0,3090.0,,
120,Salmoniformes,Salmonidae,Thymallus thymallus,Thymallus,,,924.0,,,1482.0,1473,,1590.0,,1584.0,,1546,,,,,,,,,,,,,,,2456,,,,,,,,,,,,,,,,,,,,,,,,,
121,Scombriformes,Scombridae,Acanthocybium solandri,Acanthocybium,,1052.0,,,,1455.0,1443,,,,,,1545,,,,,,,,,,,,,,,2540,,,,,,,,,,,,,,2895.0,,,,,,,,,,,
122,Scombriformes,Scombridae,Auxis sp.,Auxis,1044.0,,,1183.0,,1445.0,1443,,,1548.0,1534.0,,1571,,,1600.0,,,,,,,,1816.0,1832.0,,,,2475.0,,,,,,,,2665.0,,,,,2911.0,,,,,,,,,,,
123,Scombriformes,Scombridae,Euthynnus affinis,Euthynnus,,,,,,1445.0,1443,,,,,,1572,,,,,,,,,,,,,,,2482,,,,,,,,,,,,,,2885.0,,,,,,,,,,,
124,Scombriformes,Scombridae,Euthynnus alletteratus,Euthynnus,1044.0,,,1183.0,,1445.0,1443,,,1548.0,1534.0,,1571,,,1600.0,,,,,,,,1816.0,1832.0,,,,2475.0,,,,,,,,2665.0,,,,,2899.0,,,,,,,,,,,
125,Scombriformes,Scombridae,Gymnosarda unicolor,Gymnosarda,,1040.0,,,,1455.0,1443,,,,,,1572,,,,,,,,,,,,,,,2552,,,,,,,,,,,,,,2857.0,,,,,,,,,,,
126,Scombriformes,Scombridae,Katsuwonus pelamis,Katsuwonus,1044.0,1082.0,,1183.0,,1445.0,1443,,,1548.0,1534.0,,1557,,,1600.0,,,,,,,,1816.0,1832.0,,,2484,2485.0,,,,,,,,2665.0,,,,,2911.0,,2763.0,,,,,,,,,
127,Scombriformes,Scombridae,Scomber scombrus,Scomber,,,952.0,,,1455.0,1443,,1558.0,,1552.0,,1508,,,,,,,,,,,,,,,2504,,,,,,,,,,,,,,,,,,,,,,,,,
128,Scombriformes,Scombridae,Thunnus alalunga,Thunnus,1044.0,1038.0,,1167.0,,1445.0,1443,,,1532.0,1534.0,,1572,,,1584.0,1600.0,,,,,,,1816.0,1832.0,,,,2510.0,,,,,,,,,,,,,2867.0,,2763.0,,,,,,,,,
129,Scombriformes,Scombridae,Thunnus albacares,Thunnus,,1052.0,,,,1445.0,1443,,,,,,1572,,,1600.0,,,,,,,,,,,,,,,,,,,,,,,,,,2867.0,,,,,,,,,,,
130,Scombriformes,Scombridae,Thunnus obesus,Thunnus,,1052.0,,,,1445.0,1443,,,,,,1572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2867.0,,,,,,,,,,,
131,Scombriformes,Scombridae,Thunnus thynnus,Thunnus,,1052.0,,,,1445.0,1443,,,,,,1572,,,1600.0,,,,,,,,,,,,,,,,,,,,,,,,,,2897.0,,,,,,,,,,,
132,Scopaeniformes,Cottidae,Myoxocephalus scorpius,Myoxocephalus,,,876.0,,,1455.0,1439,,1522.0,,1562.0,,1538,,,,,,,,,,,,,,,2474,,,,,,,,,,,,,,,,,,,,,,,,,
133,Scopaeniformes,Sebastidae,Sebastes marinus,Sebastes,,,910.0,,,1455.0,1443,,1480.0,,1555.0,,1542,,,,,,,,,,,,,,,2444,,,,,,,,,,,,,,,,,,,,,,,,,
134,Scopaeniformes,Triglidae,Chelidonichthys cuculus,Chelidonichthys,,,894.0,,,1455.0,1443,,1480.0,,1538.0,,1591,,,,,,,,,,,,,,,2442,,,,,,,,,,,,,,,,,,,,,,,,,
135,Scopaeniformes,Triglidae,Chelidonichthys lacerna,Chelidonichthys,,,882.0,,,1455.0,1433,,1480.0,,1552.0,,1591,,,,,,,,,,,,,,,2462,,,,,,,,,,,,,,,,,,,,,,,,,
136,Scopaeniformes,Triglidae,Eutrigla gurnardus,Eutrigla,,,906.0,,,1455.0,1433,,1480.0,,1554.0,,1591,,,,,,,,,,,,,,,2436,,,,,,,,,,,,,,,,,,,,,,,,,
137,Siluriformes,Siluridae,Silurus glanis,Silurus,1052.0,,,,1278.0,,1427,,,,1534.0,,1573,,,,,1269.0,,,,,,1796.0,1812.0,,,,,2065,,,,,,,2690.0,2706.0,,,,,,,,,,,,,,,
138,Tetraodontiformes,Balistidae,Balistes capriscus,Balistes,1010.0,,,1179.0,1380.0,,1469,,,,,,1517,,,1554.0,,,,,,,,1816.0,1832.0,,,,,2092,,,,,,,,,,,,2841.0,,,,,,,,,,,
139,Tetraodontiformes,Diodontidae,Diodon sp.,Diodon,,,,,1392.0,1485.0,,,,,,,1559,,,1542.0,,,,,,,,1816.0,1832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Zeiformes,Zeidae,Zeus faber,Zeus,,,922.0,,,1487.0,1484,,1508.0,,1563.0,,1540,,,,,,,,,,,,,,,2387,,,,,,,,,,,,,,,,,,,,,,,,,
